timestamp_utc|job_id|profile|stage
2026-08-07T13:49:00Z|927960|cpu|tests
2026-08-07T13:49:23Z|927961|cpu-high|prepare-new
2026-08-07T13:49:23Z|927962|cpu-high|eb-robustness
2026-08-07T13:49:23Z|927963|A100|train-new
2026-08-07T13:49:23Z|927964|L40S|validity-core
2026-08-07T13:49:23Z|927965|A100|repaired-inference
2026-08-07T13:49:23Z|927966|A100|bridge
2026-08-07T13:49:23Z|927967|cpu-high|aggregate
2026-08-07T13:49:23Z|927968|cpu-high|support-inner-gate
2026-08-07T13:50:14Z|927969|cpu|tests
2026-08-07T13:51:50Z|927970|cpu-high|prepare-new
2026-08-07T13:51:50Z|927971|cpu-high|eb-robustness
2026-08-07T13:54:55Z|927979|A100|train-new
2026-08-07T13:55:00Z|927980|L40S|validity-core
2026-08-07T13:57:10Z|927984|cpu-high|eb-robustness
2026-08-07T13:58:42Z|927988|cpu|tests
